"","ID","sentence","Xmean","YMean","n","Xsd","Ysd"
"1",1," Looking  for whoever we could find.",12,11,10,18.7379590967403,16.6332999331662
"2",2,"And so we we there for two hours and he asked me about Adis Subasic, that is, Misko, the man who brought us, asked if I  knew  him.",7.27272727272727,4.54545454545455,11,20.0454030096225,12.9333958136573
"3",3,"I just wanted to  go  home.",26,22,10,6.99205898780101,16.1932770686548
"4",4,"I ca n't believe that I lived through 1976, you  know  in my matric year.",7.5,2.5,12,28.9592189749027,20.0567377026456
"5",5,"I prepared to calm her down and was  giving  her oxygen.",26,16,10,6.99205898780101,22.7058484879019
"6",6,"Duch was  interrogating  like he wanted some important information, but it did not come out.",18.3333333333333,10,12,22.8963408483195,21.320071635561
"7",7,"And then there was this pressure on the ANC that certain attacks of the ANC that were either bungled or was not - did n't  coincide  with proper policy of the ANC, like not attacking civilians and so forth, that we should also - there was a lot of pressure from the right also on the ANC to also go do certain things.",21,-4,10,18.5292561462497,26.7498701969852
"8",8,"People  left  their ambulances taking off on foot.",27,15,10,6.74948557710553,24.6080384337223
"9",9,"Prisoners who  entered  S-21, I never saw them leave.",17.5,9.16666666666667,12,23.0118546524493,21.0878393795327
"10",10,"Even the Standing Committee, in my opinion, did not really believe in it : it was about finding excuses to  eliminate  those who represented obstacles.",14.5454545454545,10,11,23.3938608885478,20
"11",11,"Don't do anything that isn't right, try to live by that ethic, the Greek one you carry inside,  live  by it and you'll stay alive.",15.8333333333333,10.8333333333333,12,22.3437334445796,17.8164037455442
"12",12,"So I was supposed to lie low and to count and see what happens, I  mean  you go or stay out of the country, one of the two.",9.09090909090909,7.27272727272727,11,26.6287609379578,19.5401684183679
"13",13,"Angel Rivera was walking around in a daze and we  found  him.",30,30,10,0,0
"14",14,"I got assigned, I don t  remember  the exact time I got assigned on the job.",10.9090909090909,-9.09090909090909,11,27.001683449202,20.2259958738973
"15",15,"The contents of those conversations were : 1 ) I wanted to  know  about the lives of POL Pot, IENG Sary, SON Sen, KHIEU Samphan, and TAUCH Phoeun when they were in France.",10.8333333333333,13.3333333333333,12,25.7464325272219,13.7068883368468
"16",16,"I am not in a position to  give  you many details since it was Huy who was in charge of the organisation.",21.8181818181818,-14.5454545454545,11,18.3402190925746,21.1488233070478
"17",17,"The instruments  used  for torturing were not ordered, in reality whatever was there was used, like electric wires, pliers to remove nails, using needles to stick under the nails, in reality we used whatever we had.",27,9,10,6.74948557710553,27.6686746259295
"18",18,"So we went down this way and it looked like the kids were starting to come out of school, I'm  thinking  in my mind.",20,20,10,9.42809041582063,9.42809041582063
"19",19,"They never harassed me very much when I  broke  the banning order.",28,8,10,6.32455532033676,28.9827534923789
"20",20,"People start running, yelling another plane  hit  the building.",25,9,10,7.07106781186548,25.5821118057999
"21",21,"On 12 October 2006 with the Prosecutors you said that there were barbaric killings of children, that children were  taken  to the third floor and thrown down below to break their necks.",25,13,10,7.07106781186548,23.5937844922485
"22",22,"Pigs I  fed  for myself, for my needs and so.",18.1818181818182,14.5454545454545,11,19.9088833530069,18.6352549559357
"23",23,"And for Mm Nai, -LSB- he -RSB- was exclusively assigned to  interrogate  Vietnamese prisoners of war.",20.9090909090909,11.8181818181818,11,18.1408629643385,21.8257562609784
"24",24,"Mrs . Chea Leang asked : This morning you said that you  left  Phnom Penh on 7 January 1976 at 11 in the morning.",13.8095238095238,16.1904761904762,21,20.1186954040739,13.9557122627942
"25",25,"So I got out of some more debris, I started walking, and my goal was that I would walk downtown, walk away from this area and get to wherever this tunnel ended and then I would start digging and making  noise .",13,17,10,23.5937844922485,14.9443411809733
"26",26,"And it's across the board ; so it's between black and white, within the black community itself I mean recently we have had this whole  debacle  about you know about Mogen Ngema's song.",18,19,10,19.8885785202351,15.9513148186739
"27",27,"Military work at S-21 meant : first, receiving the victims they sent in ; second, imprisoning the victims in the prison ; third,  taking  the victims to be smashed ; fourth, defence against outside intervention.",19,6,10,18.5292561462497,24.5854518861144
"28",28,"On January different actions the so called Republic Srpska on territory of Bosnia and Herzegovina was  declared  on the territory where the Serbs were mostly minority.",27,23,10,4.83045891539648,15.6702123647242
"29",29,"Trying to educate the people and  get  them involved in taking this.",11.8181818181818,14.5454545454545,11,22.2792198329214,12.1355975243384
"30",30,"Military work at S-21  meant  : first, receiving the victims they sent in ; second, imprisoning the victims in the prison ; third, taking the victims to be smashed ; fourth, defence against outside intervention.",26,18,10,6.99205898780101,20.976176963403
"31",31,"In many of the courses, and it comes from Black people themselves, who say, when you ask them for an image of Black people, they give you things like, Black people are  lazy  ; Black people are uneducated ; there's too many Black people.",6,7,10,25.4732975660571,18.2878222991269
"32",32,"And then I  moved  to the American sector to a placed called to Frankfurt Am Main and that was already a whole ci . . . whole Jewish city -- a Jewish community.",21.8181818181818,21.8181818181818,11,19.4000937204859,14.0129809949074
"33",33,"We had  gone  to actually where ground zero was at.",19.0909090909091,19.0909090909091,11,20.2259958738973,15.1357493732854
"34",34,"And from the force, and I am not ashamed to say it, the bra belt  broke , that's how hard I fell.",25,13,10,8.49836585598798,24.0601099101581
"35",35,"We  put  him into the back of the ambulance, me and Kevin, and we proceeded south bound down Broadway.",29,19,10,3.16227766016838,23.3095116493961
"36",36,"After I  got  out of the prison my Zeljka sent me a massage that we are going to meet in out house.",26,16,10,6.99205898780101,22.7058484879019
"37",37,"They can talk just for the sake of  talking , but who was there knows what hunger is, knows what it means to count the ammunition, bullets.",6,5,10,26.7498701969852,20.6827894099848
"38",38,"I went there once to  give  an education session, once with Hor to meet the 30 ` ` liberal'' combatants who were to be sent to the tank unit, once to visit Huy in his house and another time where I met Huy who was cultivating sweet potatoes.",24,20,10,9.66091783079296,16.996731711976
"39",39,"And then again while the border was still not that solid, my father uh, decided to go across and  join  my brother.",24,18,10,8.43274042711568,18.7379590967403
"40",40,"It  dries  you up.",18.1818181818182,12.7272727272727,11,19.4000937204859,19.5401684183679
"41",41,"This being said, the term was used more broadly to identify anything that  goes  wrong, anything in opposition.",15.8333333333333,5.83333333333333,12,22.3437334445796,20.2072594216369
"42",42,"From 1971 till about 1973 when I was banned, when the banning order  expired  in 1978 sometime then I was banned in 1978 again until 1981 or 1982, sometime there.",23.6363636363636,14.5454545454545,11,18.0403587950613,22.962419891482
"43",43,"They worked in villages, and they  walked  and trudged mile after mile of the Indian sub-continent supporting the development of the poor.",29,23,10,3.16227766016838,18.8856206322871
"44",44,"The grenade falls, the parent get out and  gather  their remains.",19.0909090909091,13.6363636363636,11,19.2117388356939,19.6329963442809
"45",45,"First, because my mother was left there who lost her 21 year old son, she was  left  in a torn down house under the foil, and third I wanted to go back to my own and let whatever is about to happen be.",22,17,10,18.7379590967403,21.6281709300111
"46",46,"You know, every so often events would happen that required help of others, resourcefulness of one's own to survive, I mean, I would be on a train let's say, and somebody would  recognize  me, who had known me from the town, cause it wasn't all that far, I mean, and would yell at me.",10,9.09090909090909,11,20.976176963403,13.7510330190466
"47",47,"We gave a lot, plenty for this  education .",17,23,10,24.9666444147653,12.5166555703457
"48",48,"I  read  document ERN 00006728 again.",24.5454545454545,24.5454545454545,11,18.0906806746658,12.1355975243384
"49",49,"Those people who lived on the other side defended my mother, whom they did n't  know , they would put their light on and they would call.",21,-12,10,19.1195071996,24.4040069569642
"50",50,"One must not forget that Nuon Chea was  following  this closely and that he needed a full confession.",10,-10,10,0,0
"51",51,"In order to get the fear inside the rest of Janja's inhabitants, and in the end it was said very clearly those refugees who arrived to Janja from area of Tuzla, Zenica, Sarajevo were asking for Bosniaks to move out, that is, for Muslims to move out of Janja, because otherwise they would refuse to  go  to war until Muslim move out as they wanted to get in our houses.",22,2,10,7.88810637746615,24.4040069569642
"52",52,"And during the trial one of the trialists mother was already  bedridden , and my mother was looking after her here.",30,30,10,0,0
"53",53,"I prepared to  calm  her down and was giving her oxygen.",19.0909090909091,19.0909090909091,11,18.1408629643385,12.2102788293679
"54",54,"We were sworn to secrecy, and to this day I do n't even  know  if I should be saying it.",-15,2.5,12,27.1360210119987,8.66025403784439
"55",55,"It  felt  like I popped a ligament or whatever it might have been.",14.5454545454545,17.2727272727273,11,22.962419891482,12.7207775634268
"56",56,"And uh, probably that's why, when the Hungarian era came and we started to be  discriminated  against, the impact was uh, very confusing.",23,19,10,9.48683298050514,16.6332999331662
"57",57,"Once we parked there, they told us  stay  by the bus and wait for further instructions.",19.0909090909091,21.8181818181818,11,24.2711950486767,14.0129809949074
"58",58,"Well, there was a, there was a Polish foreman there and uh, I talked to him and on occasion I was able to get him some money to buy uh, homebrew vodka and so on and kind of bribed him a little and he  promoted  me.",27,27,10,9.48683298050514,9.48683298050514
"59",59,"Looking back at my notes, we  had  almost a third alarm assignment of firefighters in there at one point or volunteers that came up afterwards.",28,28,10,4.21637021355784,4.21637021355784
"60",60,"I know the General Staff had a map identifying the plots allocated to each unit, that Prey Sr extended from Bakou village to Prey Sr prison ( created under the Sangkum and where I had been detained myself ), that the  production  was sufficient to feed S-21, and that in 1978, the surplus was even distributed to the Central Committee.",30,30,10,0,0
"61",61," Let  me continue about Brother Ngt You.",6.36363636363636,9.09090909090909,11,21.5743955988237,12.2102788293679
"62",62,"When I gave that sign it had to wait for them to let me know that they got the signal When it went on the commander, this Sidik  came  close to me, and I pardon, I was trying to see if I could hold the gun in one hand.",28,28,10,6.32455532033676,6.32455532033676
"63",63,"And from there on things were just  going  downhill for all the Jews.",24.5454545454545,19.0909090909091,11,18.0906806746658,20.2259958738973
"64",64,"Who is going to  open  the door and greet me at home tomorrow when my mother dies.",-14,-1,10,26.3312235441753,14.4913767461894
"65",65,"I never bothered to look up what's in there, because I remember very well the name of -- there must have been Austrian -- Hungarian border towns, because that's where we got uh,  transferred  to cattle cars.",24.5454545454545,24.5454545454545,11,18.0906806746658,12.1355975243384
"66",66,"The entire period, for a while I was in Capljina, later I was on Heliodrom in . . . I was like on call guard, I simply had no field  work .",24.5454545454545,-19.0909090909091,11,18.0906806746658,20.2259958738973
"67",67,"I put it upside-down with the head down here, to stabilize his hip, and he helped me  hold  him up and do all that.",30,30,10,0,0
"68",68,"And I think if there should be an  award  for the greatest medical help it should go to her.",10,7.5,12,25.2262489554757,16.583123951777
"69",69,"I offered to  escort  them out of the area, with the idea that I knew they'd have a cell phone on them, the photographers.",14.5454545454545,14.5454545454545,11,17.5291964240443,11.2815214963553
"70",70,"I was supposed to  go , but Miso went instead of me Miso.",24,-10,10,8.43274042711568,24.4948974278318
"71",71,"I  went  to Muhamed Avdic, he used to lived at my friends home basement, he lived there for free.",29,29,10,3.16227766016838,3.16227766016838
"72",72,"He asked me to go on in and  call  the other members of our bureau which were assembled near the telephone building on Vesey and West Street.",13.8461538461538,13.8461538461538,13,25.670495884855,14.4559454541846
"73",73,"I, in fact, applied to DIMES to say, ` Why do n't we  consolidate  and create, you know, one unified Trade Union movement ?.",0.909090909090909,1.81818181818182,11,25.0816847339031,13.2801971507819
"74",74,"They  went  away, and were left alone.",24.5454545454545,24.5454545454545,11,18.0906806746658,12.1355975243384
"75",75,"The government passed one repressive law against the other and all that  failed  to stop the struggle for freedom.",30,12,10,0,28.9827534923789
"76",76,"Not where I was  born  but where we had to go, you know, what -- we didn't find anything.",27,-3,10,9.48683298050514,29.8328677803526
"77",77,"Of course Louie got off, and he was going to hold the boat for me, and then we  got  carried out into the water.",29,25,10,3.16227766016838,15.8113883008419
"78",78,"I've seen young chaps really you know active and they were not going to  give  in.",28,-10,10,4.21637021355784,27.8886675511359
"79",79,"Uh, one uh, as a matter of fact, said that if I  stayed  there they would just send me o ..",5.83333333333333,10.8333333333333,12,27.7843426585856,13.7895436890245
"80",80,"Imagine now when I am talking about this, and when the say  demobilized  soldiers demonstrate there.",8,12,10,22.9975844142138,15.4919333848297
"81",81,"And maybe you could write a letter -- and he give me the -- that I help the people, that I never did nothing wrong and maybe I could  join  my wife and be at home.",3,9,10,18.2878222991269,7.37864787372622
